name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Staatliche Bibliothek, Schlossbibliothek Ansbach;Reitbahn 5;91522;Ansbach;-981;95385-0;http://www.schlossbibliothek-ansbach.de;;Montag - Freitag: 10.00 - 17.00,  Donnerstag: 10.00 - 18.00 ;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.057.193;49.302.592
Freie Universität Berlin. Universitätsbibliothek;Garystr. 39;14195;Berlin;-30;838-51111;http://www.ub.fu-berlin.de/index.html;http://primo.fu-berlin.de/;Lesesaal / Informationszentrum / Leihstelle: Mo-Fr 9.00-20.00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
ZBW - Leibniz-Informationszentrum Wirtschaft;Düsternbrooker Weg 120;24105;Kiel;-40;42834351;http://www.zbw-kiel.de;;Mo-Fr 9:00 - 19:00;1.000.001 und mehr;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.013.727;54.321.775
Deutsche Nationalbibliothek;Adickesallee 1;60322;Frankfurt/Main;-69;15 25-0;http://www.dnb.de;;;1.000.001 und mehr;Staat (Bund od. Republik);Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.682.433;5.011.088
Universitätsbibliothek;Wilhelm-Röpke-Str. 4;35039;Marburg/Lahn;-6421;28-21319 bis 21321;http://www.uni-marburg.de/bis/;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.769.147;50.809.004
Universitätsbibliothek Heidelberg;Plöck 107/109;69117;Heidelberg;-6221;542382;http://www.ub.uni-heidelberg.de;http://www.ub.uni-heidelberg.de/helios/kataloge/;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.702.067;49.408.826
Universitätsbibliothek Rostock;Albert-Einstein-Strasse 6;18057;Rostock;-381;498-8601;http://www.ub.uni-rostock.de;http://opac.lbs-rostock.gbv.de/DB=1/LNG=DU/;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.135.993;54.088.548
Universitätsbibliothek Mainz;Jakob-Welder-Weg 6;55128;Mainz;-6131;39-22644;http://www.ub.uni-mainz.de;http://opac.ub.uni-mainz.de;Mo-Fr 8.00-24.00 und Sa-So 10.00-24.00 (außer an gesetzl. Feiertagen) ;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.271.855;50.001.959
KIT-Bibliothek;Straße am Forum 2;76131;Karlsruhe;-721;6 08-43101;http://www.bibliothek.kit.edu;;Rund um die Uhr, auch an Wochenenden und Feiertagen geöffnet. Auskunft und Leihstelle: Mo - Fr 9 - 19 Uhr, Samstag 9 - 12.30 Uhr. ;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.405.282;49.009.626
Universitätsbibliothek Paderborn;Warburger Str. 100;33098;Paderborn;-5251;60 20 47;http://www.ub.uni-paderborn.de;https://katalog.ub.uni-paderborn.de;Mo - Fr  7.30 - 24.00 Uhr. Sa  9.00 - 21.00 Uhr. So 09.00 - 21.00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.757.301;51.719.601
Universitätsbibliothek Bayreuth;Universitätsstr. 30;95447;Bayreuth;-921;55-3400;http://www.ub.uni-bayreuth.de/;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.571.349;49.945.574
Bibliotheks- und Informationssystem der Carl von Ossietzky Universität Oldenburg;Uhlhornsweg 49/55;26129;Oldenburg;-441;7 98-4001;http://www.bis.uni-oldenburg.de;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.212.993;53.140.025
Universitätsbibliothek Passau;Innstr. 29;94032;Passau;851;509-1601;https://www.ub.uni-passau.de/;https://infoguide.ub.uni-passau.de;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.420.113;48.569.343
Universitätsbibliothek Kiel. Zentralbibliothek;Leibnizstraße 9;24118;Kiel;-431;8 80-4701;http://www.ub.uni-kiel.de/;;http://www.ub.uni-kiel.de/ueber/oeffnungszeiten/;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.013.727;54.321.775
Universitätsbibliothek Tübingen;Wilhelmstr. 32;72074;Tübingen;-7071;29-72577;http://www.ub.uni-tuebingen.de;;Mo-Fr 8.00-24.00 UhrSa/So 10.00-22.00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.057.829;48.522.143
Landesbibliothek Oldenburg;Pferdemarkt 15;26121;Oldenburg;-441;7 99-2800;http://www.lb-oldenburg.de;;Mo-Fr 10-19 Uhr, Sa 9-12 Uhr;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.212.993;53.140.025
Landesbibliothek Coburg;Schloßpl. 1 (Schloß Ehrenburg);96450;Coburg;-9561;85380;http://www.landesbibliothek-coburg.de;https://katalog.landesbibliothek-coburg.de;Mo - Do: 10 - 17 Uhr. Fr + Sa: 10 - 13 Uhr. während der Schulferien Mo - Fr: 10 - 13 Uhr;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.964.232;50.258.421
Universitätsbibliothek der RWTH Aachen;Templergraben 61;52062;Aachen;-241;80-94445;http://www.ub.rwth-aachen.de/;;Mo-Fr 08:30-24:00 Sa 09:00-24:00 So+Feiertage 11:00-24:00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;60.848;50.773.516
Universität Hohenheim, Kommunikations-, Informations- und Medienzentrum (KIM) ;Garbenstr. 15;70599;Stuttgart;-711;459-23217;https://kim.uni-hohenheim.de;https://hohsearch.uni-hohenheim.de/opac/;Mo-Fr 8.00-21.00 Uhr. Sa u.So 10.00-21.00 Uhr;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Universitätsbibliothek Regensburg;Universitätsstr. 31;93053;Regensburg;-941;9 43 39 01 - 03;http://www.uni-regensburg.de/bibliothek;https://www.regensburger-katalog.de;Mo - Fr 8.00 - 22.00 Uhr. Sa 9.00 - 18.00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.097.392;49.017.834
Staatsbibliothek zu Berlin - Preußischer Kulturbesitz;Potsdamer Str. 33;10785;Berlin;-30;2 66-43 25 00;http://www.staatsbibliothek-berlin.de;http://stabikat.de;;1.000.001 und mehr;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Universitätsbibliothek Freiburg/Breisgau;Platz der Universität 2;79098;Freiburg/Breisgau;-761;203-3900;https://www.ub.uni-freiburg.de;https://katalog.ub.uni-freiburg.de;7:00 - 24:00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.849.877;47.994.786
Staats- und Stadtbibliothek Augsburg;Schaezlerstr. 25;86152;Augsburg;-821;7 10 13 27 39;http://www.sustb-augsburg.de;http://opac.sustb-augsburg.de;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.892.578;48.369.696
Universitätsbibliothek Clausthal-Zellerfeld;Leibnizstr. 2;38678;Clausthal-Zellerfeld;-5323;72-2301;http://bibliothek.tu-clausthal.de;;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.333.189;51.803.755
Hofbibliothek Aschaffenburg  ;Schloss Johannisburg, Schlossplatz 4;63739;Aschaffenburg;-6021;44 63 99-0;http://www.hofbibliothek-ab.de;http://www.hb.bibkatalog.de;siehe http://www.hofbibliothek-ab.de/oeffnung.htm;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.147.832;49.973.506
Universitätsbibliothek Augsburg;Universitätsstr. 22;86159;Augsburg;-821;598-5300;http://www.bibliothek.uni-augsburg.de;https://opac.bibliothek.uni-augsburg.de/;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.892.578;48.369.696
Universität Potsdam. Universitätsbibliothek, IKMZ;Karl-Lieb-Knecht-Str. 24 - 25, Haus 18;14476;Potsdam/Golm;331;977-2103;http://www.ub.uni-potsdam.de;http://opac.ub.uni-potsdam.de/;9.00 - 22.00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.305.358;52.400.355
Universitätsbibliothek Osnabrück;Alte Münze 16;49074;Osnabrück;-541;9 69-4320;http://www.ub.uni-osnabrueck.de;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;804.205;5.227.692
Universitäts- und Landesbibliothek Bonn;Adenauerallee 39-41;53113;Bonn;-228;73-7352;https://www.ulb.uni-bonn.de;https://www.ulb.uni-bonn.de;https://www.ulb.uni-bonn.de/de/die-ulb/oeffnungszeiten-zweigstellen;;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.099.187;50.734.245
Universitäts- und Landesbibliothek Darmstadt;Magdalenenstraße 8;64289;Darmstadt;-6151;16-76211;http://www.ulb.tu-darmstadt.de;http://opac.ulb.tu-darmstadt.de/opac/opac;Jan.-März und Juni-Aug. täglich 24 Stunden, April-Mai und Sept.-Dez. täglich 07.00 - 01.00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;86.566;49.873.211
Universitätsbibliothek Erlangen-Nürnberg. Zentralbibliothek;Universitätsstr. 4;91054;Erlangen;-9131;85-22151;http://www.ub.uni-erlangen.de/;http://opac.uni-erlangen.de;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.003.274;4.959.508
